latitude,longitude,spp_richness,N_dep_kghayr,precip_mm,temp_C_ave,pH,CL_kghayr_lower,CL_kghayr_upper,CL_kghayr,EX_kghayr,two_class_veg,NVC_1_name,NVC_2_name,NVC_Alliance,proj_orig
46.1,-83.7,15,5.52,805.57,5.61,7.2,15.86,19.38,17.43,-11.91,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-83.7,11,5.52,805.57,5.61,7.2,15.86,19.38,17.43,-11.91,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-83.7,12,5.52,805.57,5.61,7.2,15.86,19.38,17.43,-11.91,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-83.7,17,5.52,805.57,5.61,7.2,15.86,19.38,17.43,-11.91,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-83.7,16,5.52,805.57,5.61,7.2,15.86,19.38,17.43,-11.91,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-83.7,12,5.52,805.57,5.61,7.2,15.86,19.38,17.43,-11.91,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
45.7,-86.6,25,5.72,732.15,5.98,7,8.85,9.22,9.03,-3.31,open_canopy,Shrubland,Evergreen shrubland,Juniperus communis Shrubland Alliance,Alvar
45.3,-83.6,19,8.89,751.28,6.67,7.3,8.98,9.35,9.16,-0.27,open_canopy,Shrubland,Evergreen shrubland,Juniperus communis Shrubland Alliance,Alvar
46,-83.7,15,8.63,782.47,5.69,7.2,15.86,19.38,17.43,-8.81,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-84.9,17,7.94,822.37,5.05,5.6,13.08,15.04,13.96,-6.02,closed_canopy,Forest,Evergreen forest,Pinus strobus Forest Alliance,Alvar
46,-83.7,15,8.63,792.48,5.65,7.2,15.86,19.38,17.43,-8.8,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
45.9,-87.2,27,7.3,755.55,5.72,6.7,15.01,18.01,16.35,-9.04,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
46.1,-85.6,19,5.7,811.79,5.48,6.2,14.15,16.65,15.26,-9.56,closed_canopy,Forest,Evergreen forest,Pinus strobus Forest Alliance,Alvar
46,-83.8,25,5.53,768.74,5.68,7.5,16.38,20.22,18.09,-12.55,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76,19,10.03,950.36,7.5,6.7,15.01,18.01,16.35,-6.31,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76,25,10.03,950.36,7.5,6.7,15.01,18.01,16.35,-6.31,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76,27,10.03,950.36,7.5,6.7,15.01,18.01,16.35,-6.31,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,14,10.39,971.36,7.44,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,29,10.39,971.36,7.44,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,20,10.39,971.36,7.44,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,36,10.39,972.36,7.42,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,34,10.39,972.36,7.42,6.7,15.01,18.01,16.35,-5.96,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
44.1,-76.1,9,10.37,968.91,7.53,6.7,15.01,18.01,16.35,-5.98,closed_canopy,Forest,Deciduous forest,Acer saccharum - Betula alleghaniensis - (Fagus grandifolia) Forest Alliance,Alvar
